position,predictor
1242,dx_D495
1243,dx_D49511
1244,dx_D49512
1245,dx_D49519
1246,dx_D4959
1247,dx_D496
1248,dx_D497
1249,dx_D4981
1250,dx_D4989
1251,dx_D499
1252,dx_D500
1253,dx_D501
1254,dx_D508
1255,dx_D509
1256,dx_D510
1257,dx_D511
1258,dx_D512
1259,dx_D513
1260,dx_D518
1261,dx_D519
1262,dx_D520
1263,dx_D521
1264,dx_D528
1265,dx_D529
1266,dx_D530
1267,dx_D531
1268,dx_D532
1269,dx_D538
1270,dx_D539
1271,dx_D550
1272,dx_D551
1273,dx_D552
1274,dx_D5521
1275,dx_D5529
1276,dx_D553
1277,dx_D558
1278,dx_D559
1279,dx_D560
1280,dx_D561
1281,dx_D562
1282,dx_D563
1283,dx_D564
1284,dx_D565
1285,dx_D568
1286,dx_D569
1287,dx_D570
1288,dx_D5700
1289,dx_D5701
1290,dx_D5702
1291,dx_D5703
1292,dx_D5704
1293,dx_D5709
1294,dx_D571
1295,dx_D572
1296,dx_D5720
1297,dx_D5721
1298,dx_D57211
1299,dx_D57212
1300,dx_D57213
1301,dx_D57214
1302,dx_D57218
1303,dx_D57219
1304,dx_D573
1305,dx_D5740
1306,dx_D57411
1307,dx_D57412
1308,dx_D57413
1309,dx_D57418
1310,dx_D57419
1311,dx_D5742
1312,dx_D57431
1313,dx_D57432
1314,dx_D57433
1315,dx_D57434
1316,dx_D57438
1317,dx_D57439
1318,dx_D5744
1319,dx_D57451
1320,dx_D57452
1321,dx_D57453
1322,dx_D57458
1323,dx_D57459
1324,dx_D578
1325,dx_D5780
1326,dx_D57811
1327,dx_D57812
1328,dx_D57813
1329,dx_D57814
1330,dx_D57818
1331,dx_D57819
1332,dx_D580
1333,dx_D581
1334,dx_D582
1335,dx_D588
1336,dx_D589
1337,dx_D5910
1338,dx_D5911
1339,dx_D5913
1340,dx_D5919
1341,dx_D5932
1342,dx_D594
1343,dx_D599
1344,dx_D600
1345,dx_D601
1346,dx_D608
1347,dx_D609
1348,dx_D6101
1349,dx_D6102
1350,dx_D6103
1351,dx_D6109
1352,dx_D611
1353,dx_D612
1354,dx_D613
1355,dx_D61810
1356,dx_D61811
1357,dx_D61818
1358,dx_D6182
1359,dx_D6189
1360,dx_D619
1361,dx_D630
1362,dx_D631
1363,dx_D638
1364,dx_D640
1365,dx_D641
1366,dx_D642
1367,dx_D643
1368,dx_D644
1369,dx_D6489
1370,dx_D649
1371,dx_D65
1372,dx_D66
1373,dx_D67
1374,dx_D680
1375,dx_D6800
1376,dx_D6801
1377,dx_D68020
1378,dx_D68021
1379,dx_D68022
1380,dx_D68023
1381,dx_D68029
1382,dx_D6803
1383,dx_D6804
1384,dx_D6809
1385,dx_D681
1386,dx_D682
1387,dx_D68311
1388,dx_D68312
1389,dx_D68318
1390,dx_D6832
1391,dx_D684
1392,dx_D6851
1393,dx_D6852
1394,dx_D6859
1395,dx_D6861
1396,dx_D6862
1397,dx_D688
1398,dx_D689
1399,dx_D691
1400,dx_D693
1401,dx_D6941
1402,dx_D6942
1403,dx_D6949
1404,dx_D6951
1405,dx_D6959
1406,dx_D696
1407,dx_D698
1408,dx_D699
1409,dx_D700
1410,dx_D704
1411,dx_D71
1412,dx_D711
1413,dx_D718
1414,dx_D719
1415,dx_D720
1416,dx_D7581
1417,dx_D7582
1418,dx_D75821
1419,dx_D75822
1420,dx_D75828
1421,dx_D75829
1422,dx_D7584
1423,dx_D7589
1424,dx_D75A
1425,dx_D761
1426,dx_D762
1427,dx_D763
1428,dx_D800
1429,dx_D801
1430,dx_D802
1431,dx_D803
1432,dx_D804
1433,dx_D805
1434,dx_D806
1435,dx_D807
1436,dx_D808
1437,dx_D809
1438,dx_D810
1439,dx_D811
1440,dx_D812
1441,dx_D813
1442,dx_D8130
1443,dx_D8131
1444,dx_D8132
1445,dx_D8139
1446,dx_D814
1447,dx_D815
1448,dx_D816
1449,dx_D817
1450,dx_D81810
1451,dx_D81818
1452,dx_D81819
1453,dx_D8182
1454,dx_D8189
1455,dx_D819
1456,dx_D820
1457,dx_D821
1458,dx_D822
1459,dx_D823
1460,dx_D824
1461,dx_D828
1462,dx_D829
